node_name,"LFP peak (avg, mV)","LFP peak (std, mV)","early spike median timing
(avg, ms)","early spike median timing
(std, ms)",early spike num (avg),early spike num (std),"early spike first timing
(avg, ms)","early spike first timing
(std, ms)","sustained spike median timing
(avg, ms)","sustained spike median timing
(std, ms)",sustained spike num (avg),sustained spike num (std),"sustained spike first timing
(avg, ms)","sustained spike first timing
(std, ms)","pre-stim spont FR (avg, Hz)","pre-stim spont FR (std, Hz)",Spike width (ms),Spike asymmetry (a.u.),CV2 (a.u.),ACG rise time (s),cohort
"(Cohort_PV_JUX Mice_JPCM09146 Fov_only Cell_003, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250716 Session_250716_003_182416)",-0.8058836961630917,0.5856611025732742,22.040000000004056,1.8000000000029104,0.1111111111111111,0.31426968052735443,22.040000000004056,1.8000000000029104,,,0.0,0.0,,,0.6,0.7999999999999999,0.8229314420799468,0.029506457012107707,1.42614946066384,0.0075,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09146 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250716 Session_250716_004_183503)",-0.8563654474717816,0.3801622773784298,22.024558823539014,4.442802402509864,3.6470588235294117,1.411764705882353,13.757647058839366,6.765862433101515,162.77602941177267,75.61841614295687,18.88235294117647,12.201168473172013,48.50470588236282,10.146286841898661,35.35294117647059,14.270253621022455,0.41160432662913715,0.14759623016791076,0.6454984438230593,0.0075,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09146 Fov_only Cell_005, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250716 Session_250716_005_185107)",-1.486105383319778,0.5849606927117758,22.427857142871638,4.152010577639042,4.142857142857143,2.058332989066043,14.941428571443844,7.813244119676186,138.89714285715837,83.3349512019876,17.114285714285714,13.583122781223613,50.192857142874104,14.054658317023051,39.2,31.408643032497555,0.3347150736088914,0.1795704858080288,0.6369192205052809,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09147 Fov_only Cell_002, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250717 Session_250717_002_153645)",-2.130606716696437,0.5841607385742611,21.860967741945284,4.085354925818027,4.064516129032258,1.6051426199515777,13.820645161302762,5.83633885211593,232.0698387096879,52.16717019296692,32.16129032258065,9.91283551828068,46.77225806452959,10.93208911053084,24.225806451612904,9.032949282307111,0.29242865613126917,0.25413668614693624,0.7469004091073213,0.0145,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09147 Fov_only Cell_003, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250717 Session_250717_003_155119)",-2.2207010456682053,0.8623098849608183,20.16583333335783,4.160591320825672,3.3333333333333335,1.5347819244295116,14.236666666695896,6.972397164694136,246.56583333335834,42.00444692893004,32.1,9.893937537704593,66.14333333335101,44.49131738016298,23.6,17.60795274868717,0.3085476326408838,0.1835856016682976,0.7216160305391565,0.0165,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09147 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250717 Session_250717_004_160804)",-2.0929260366124423,0.7767955232579011,20.696617647069065,5.701890517315923,2.411764705882353,1.2394886768062046,16.769411764718043,7.606161566227792,163.94367647060068,50.12374874936953,20.852941176470587,11.520141831595183,55.92382352942635,15.483158405322035,19.647058823529413,13.665935221093651,0.280102173627247,0.16931338508104474,0.7982605839633147,0.0075,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09147 Fov_only Cell_005, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250717 Session_250717_005_162239)",-2.325187544597341,0.8671519466592599,20.518260869569733,2.9678284436765567,4.739130434782608,1.593939372158553,12.58782608696438,5.885344330016652,179.0041304347906,82.49296966951917,23.695652173913043,14.935905913075189,51.47478260870618,15.313765012744568,26.91304347826087,14.101843985121885,0.2751184633537155,0.21317530158616704,0.7657502964844447,0.006500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09147 Fov_only Cell_006, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250717 Session_250717_006_170547)",-0.7889382948581644,0.34544376074392186,21.549285714293475,4.25356609091109,2.263157894736842,1.1850873946523897,17.215714285721923,7.142032238079697,298.0011842105399,59.85679090694178,14.973684210526315,6.334894350073473,112.80184210527311,75.58401254147849,25.026315789473685,13.532586095295784,0.27859142224689787,0.11869703465478447,0.7477488252326938,0.0145,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09239 Fov_only Cell_001, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250805 Session_250805_001_145715)",-1.2026576883784401,0.4608662824308018,20.409117647073526,4.331455819414678,3.0,0.9701425001453319,13.663529411779924,5.862746737493482,193.1620588235436,31.213317155036943,22.294117647058822,6.433046171525796,55.79294117648501,21.660430652596926,25.41176470588235,10.627704215201566,0.30021551253817247,0.1910845671384743,0.6973723409973058,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09239 Fov_only Cell_002, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250805 Session_250805_002_151011)",-1.6538882659564054,0.0,20.140000000026248,0.0,3.0,0.0,16.340000000013788,0.0,166.64000000002943,0.0,10.0,0.0,75.04000000000133,0.0,22.0,0.0,0.23338137725908611,0.23300364829812426,0.7436608198492441,0.013500000000000002,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09239 Fov_only Cell_003, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250805 Session_250805_003_153258)",-0.9178728590524824,0.3848529263306261,21.908589743603468,3.6491205383552523,2.58974358974359,1.3533993046560664,15.811794871814444,7.578383520141146,229.38802631580677,85.92452038471733,23.82051282051282,11.655023776217472,62.79526315790618,50.39492950355244,21.23076923076923,10.673382993994416,0.2649641258626079,0.16941693124936286,0.7359835764649265,0.0115,PV_JUX
