time,details
12870427.096834,VerticalPuffOff
12871928.132784,NoWaterOn
12871988.263161,NoWaterOff
12888026.304976,BuzzerOn
12888126.663095,BuzzerOff
12889899.759214,BlankOn
12890400.070927,BlankOff
12891901.944361,NoWaterOn
12891962.132014,NoWaterOff
12905948.136793,BuzzerOn
12906048.448523,BuzzerOff
12907736.640369,VerticalPuffOn
12908237.324495,VerticalPuffOff
12909739.63161,WaterOn
12909799.801392,WaterOff
12923512.884415,BuzzerOn
12923613.103609,BuzzerOff
12925107.220379,VerticalPuffOn
12925607.884056,VerticalPuffOff
12927110.093861,NoWaterOn
12927170.25368,NoWaterOff
12944037.973181,BuzzerOn
12944138.1643,BuzzerOff
12945492.357314,VerticalPuffOn
12945993.131372,VerticalPuffOff
12947495.494935,WaterOn
12947555.726845,WaterOff
12961168.033287,BuzzerOn
12961268.262571,BuzzerOff
12963004.291002,VerticalPuffOn
12963504.934781,VerticalPuffOff
12965006.734302,WaterOn
12965066.926175,WaterOff
12982488.04106,BuzzerOn
12982588.169029,BuzzerOff
12983941.956931,VerticalPuffOn
12984442.68711,VerticalPuffOff
12985944.632465,WaterOn
12986004.882262,WaterOff
13004024.074859,BuzzerOn
13004124.374861,BuzzerOff
13005725.350467,VerticalPuffOn
13006226.012975,VerticalPuffOff
13007727.962573,WaterOn
13007788.344552,WaterOff
13023096.105688,BuzzerOn
13023196.332431,BuzzerOff
13024699.66338,VerticalPuffOn
13025200.273422,VerticalPuffOff
13026702.060361,WaterOn
13026762.21938,WaterOff
13040936.06394,BuzzerOn
13041036.312441,BuzzerOff
13042335.807363,VerticalPuffOn
13042836.415696,VerticalPuffOff
13044336.755853,NoWaterOn
13044396.946835,NoWaterOff
13062124.044703,BuzzerOn
13062224.248482,BuzzerOff
13063637.052613,VerticalPuffOn
13064137.664516,VerticalPuffOff
13065639.857255,WaterOn
13065700.181974,WaterOff
13078408.122296,BuzzerOn
13078508.344334,BuzzerOff
13079794.997508,VerticalPuffOn
13080295.627074,VerticalPuffOff
13081798.020409,WaterOn
13081858.205446,WaterOff
13099756.077003,BuzzerOn
13099856.209411,BuzzerOff
13101410.691235,VerticalPuffOn
13101911.379777,VerticalPuffOff
13103412.427346,WaterOn
13103472.557809,WaterOff
13118884.604157,BuzzerOn
13118985.028207,BuzzerOff
13120233.291478,VerticalPuffOn
13120733.945516,VerticalPuffOff
13122235.911335,NoWaterOn
13122296.248442,NoWaterOff
13136056.146664,BuzzerOn
13136156.315663,BuzzerOff
13137560.115752,VerticalPuffOn
13138060.877415,VerticalPuffOff
13139562.853297,WaterOn
13139623.071535,WaterOff
13156885.568281,BuzzerOn
13156985.872943,BuzzerOff
13158700.197275,VerticalPuffOn
13159200.825659,VerticalPuffOff
13160702.557275,WaterOn
13160762.697514,WaterOff
13175036.324383,BuzzerOn
13175136.617101,BuzzerOff
13176926.589836,VerticalPuffOn
13177427.227939,VerticalPuffOff
13178928.110228,WaterOn
13178988.29354,WaterOff
13193712.062946,BuzzerOn
13193812.329108,BuzzerOff
13195600.214481,VerticalPuffOn
13196100.914783,VerticalPuffOff
13197602.975356,WaterOn
13197663.211851,WaterOff
13213924.149931,BuzzerOn
13214024.448943,BuzzerOff
13215313.593322,VerticalPuffOn
13215814.198493,VerticalPuffOff
13217316.630067,WaterOn
13217376.818026,WaterOff
13235100.039572,BuzzerOn
13235200.232808,BuzzerOff
13236404.327198,VerticalPuffOn
13236904.942032,VerticalPuffOff
13238406.742794,WaterOn
13238466.941234,WaterOff
13254052.071391,BuzzerOn
13254152.207683,BuzzerOff
13255932.895915,VerticalPuffOn
13256433.570281,VerticalPuffOff
13257935.413996,WaterOn
13257995.576307,WaterOff
13272722.391751,BuzzerOn
13272822.711909,BuzzerOff
13274256.033999,VerticalPuffOn
13274756.686252,VerticalPuffOff
13276258.721233,WaterOn
13276318.910099,WaterOff
13289012.102091,BuzzerOn
13289112.313121,BuzzerOff
13290716.193373,VerticalPuffOn
13291216.841921,VerticalPuffOff
13292718.74686,WaterOn
13292779.023316,WaterOff
13309559.973081,BuzzerOn
13309660.184222,BuzzerOff
13310877.922426,VerticalPuffOn
13311378.551675,VerticalPuffOff
13312880.380903,WaterOn
13312940.531528,WaterOff
13327359.892824,BuzzerOn
13327460.173315,BuzzerOff
13328988.698005,VerticalPuffOn
13329489.363176,VerticalPuffOff
13330991.39132,WaterOn
13331051.578444,WaterOff
13344397.502986,BuzzerOn
13344497.762791,BuzzerOff
13346031.540988,BlankOn
13346532.110493,BlankOff
13348034.47368,NoWaterOn
13348094.676933,NoWaterOff
13361832.046706,BuzzerOn
13361932.304974,BuzzerOff
13363375.793544,VerticalPuffOn
13363876.086478,VerticalPuffOff
13365378.056166,WaterOn
13365438.334843,WaterOff
13381719.281471,BuzzerOn
13381819.55222,BuzzerOff
13383363.26083,VerticalPuffOn
13383863.939773,VerticalPuffOff
13385366.294372,WaterOn
13385426.442885,WaterOff
13400364.071612,BuzzerOn
13400464.276177,BuzzerOff
13401689.433253,BlankOn
13402189.594906,BlankOff
13403690.236753,NoWaterOn
13403750.472801,NoWaterOff
13417008.046495,BuzzerOn
13417108.219893,BuzzerOff
13418833.477859,VerticalPuffOn
13419334.065669,VerticalPuffOff
13420834.377999,NoWaterOn
13420894.555343,NoWaterOff
13438646.750781,BuzzerOn
13438746.999992,BuzzerOff
13439960.18154,VerticalPuffOn
13440460.808755,VerticalPuffOff
13441963.426905,NoWaterOn
13442023.652082,NoWaterOff
13458720.033769,BuzzerOn
13458820.309591,BuzzerOff
13460454.814487,VerticalPuffOn
13460955.504495,VerticalPuffOff
13462456.217656,WaterOn
13462516.425648,WaterOff
13476715.940853,BuzzerOn
13476816.272951,BuzzerOff
13478396.564979,VerticalPuffOn
